,mnist_test_acc,cell,cifar_acc_12,cifar_acc_36,cifar_acc_108,imagenette_test_acc_12,imagenette_test_acc_36
0,0.9259,111111011111011100000 conv3x3-bn-relu conv1x1-bn-relu conv1x1-bn-relu conv1x1-bn-relu conv1x1-bn-relu,0.8176081776618958,0.9098557829856871,0.9321914911270142,0.128,0.512
1,0.9363,101100101100011100110 conv3x3-bn-relu conv3x3-bn-relu maxpool3x3 conv3x3-bn-relu maxpool3x3,0.5182291865348816,0.9054487347602844,0.9229767918586732,0.43799999999999994,0.574
2,0.9317,001001111010110110001 maxpool3x3 conv1x1-bn-relu conv1x1-bn-relu maxpool3x3 conv3x3-bn-relu,0.7292668223381042,0.9041466116905212,0.9306890964508056,0.43,0.7040000000000001
3,0.9331,110000010101100011000 conv3x3-bn-relu maxpool3x3 conv3x3-bn-relu conv1x1-bn-relu conv3x3-bn-relu,0.7230569124221802,0.8986378312110901,0.9284855723381042,0.562,0.7120000000000001
4,0.922,111011011110001111100 conv1x1-bn-relu maxpool3x3 maxpool3x3 maxpool3x3 maxpool3x3,0.4584334790706634,0.8086938858032227,0.8870192170143127,0.184,0.396
5,0.9028,100001111011000110000 conv1x1-bn-relu maxpool3x3 conv3x3-bn-relu maxpool3x3 maxpool3x3,0.4090544879436493,0.770432710647583,0.8356370329856873,0.166,0.252
6,0.9297,111100000010001100101 conv3x3-bn-relu conv1x1-bn-relu conv3x3-bn-relu conv3x3-bn-relu conv3x3-bn-relu,0.8543669581413269,0.9157652258872986,0.934495210647583,0.37799999999999995,0.622
7,0.9291,110111100010010011001 maxpool3x3 conv1x1-bn-relu conv1x1-bn-relu conv3x3-bn-relu conv3x3-bn-relu,0.7697315812110901,0.8693910241127014,0.9072515964508056,0.124,0.312
8,0.9295,111111000000100001110 conv3x3-bn-relu conv1x1-bn-relu conv3x3-bn-relu maxpool3x3 conv3x3-bn-relu,0.4915865361690521,0.8722956776618958,0.918870210647583,0.156,0.392
9,0.9253,010011001010011000011 conv3x3-bn-relu conv1x1-bn-relu conv1x1-bn-relu conv3x3-bn-relu maxpool3x3,0.27504006028175354,0.8266226053237915,0.8861178159713745,0.292,0.32799999999999996
10,0.9363,110011100101101000010 conv3x3-bn-relu conv3x3-bn-relu maxpool3x3 maxpool3x3 maxpool3x3,0.7096354365348816,0.9082531929016112,0.9249799847602844,0.3,0.498
11,0.9287,010100000100000100111 conv1x1-bn-relu maxpool3x3 conv1x1-bn-relu maxpool3x3 conv3x3-bn-relu,0.7672275900840759,0.8874198794364929,0.9076522588729858,0.342,0.42
12,0.9332,100001100011100101110 conv1x1-bn-relu conv3x3-bn-relu conv3x3-bn-relu maxpool3x3 conv3x3-bn-relu,0.5713140964508057,0.8543669581413269,0.9172676205635072,0.36,0.638
13,0.9274,010001100100010100001 maxpool3x3 maxpool3x3 conv1x1-bn-relu maxpool3x3 maxpool3x3,0.6681690812110901,0.8434495329856873,0.8959335088729858,0.324,0.336
